A13486401,천호현대,서울특별시 강동구 진황도로 47-2,강동구,천호동,24870371,현대건설,48,108,0,100,127.1329005,37.5383992,
A13187501,중화극동,서울특별시 중랑구 봉화산로27길 32,중랑구,중화동,24945822,극동건설,0,156,0,160,127.0837949,37.6036519,
A15185201,신림현대성우,서울특별시 관악구 남부순환로198길 7,관악구,신림동,28742659,성우종합건설(주),71,68,17,167,126.9372705,37.4837087,
A11084601,평창롯데,서울특별시 종로구 평창문화로 140,종로구,평창동,23790120,롯데건설,0,36,120,256,126.9756922,37.6091332,
A13820002,문정세양청마루,서울특별시 송파구 송이로31길 66,송파구,문정동,24032521,세양건설,157,0,0,126,127.1370266,37.4924314,
A15101501,보라매갑을,서울특별시 관악구 관천로24길 3,관악구,신림동,28721574,갑을건설,44,113,0,151,126.9219256,37.4891251,
A13312101,성수두산위브,서울특별시 성동구 뚝섬로 434,성동구,성수동2가,24610170,두산건설,0,85,48,247,127.0584774,37.5372327,
A15283801,신도림쌍용플래티넘노블,서울특별시 구로구 공원로 40,구로구,구로동,28382850,남광토건(주),0,0,155,258,126.8912982,37.5009591,
A15007101,대림갑을명가,서울특별시 영등포구 대림로22길 29,영등포구,대림동,28350494,갑을건설(주),0,157,0,181,126.9036771,37.4956182,
A13980803,공릉1동삼익,서울특별시 노원구 섬밭로 17,노원구,공릉동,29787677,삼익건설주식회사,78,59,21,144,127.0723375,37.6181002,
A14319002,자양한강극동,서울특별시 광진구 능동로3길 53,광진구,자양동,24698231,극동건설주식회사,0,158,0,160,127.0644764,37.5336956,
A13510001,청담삼성1차,서울특별시 강남구 삼성로133길 20,강남구,청담동,234464486,삼성건설,70,88,0,160,127.0478619,37.5194421,
A13292501,창동현대타운(주복),서울특별시 도봉구 도봉로114길 22-8,도봉구,창동,29929885,현대건설,93,65,0,175,127.0352336,37.6470839,
A13311101,성수금호3차,서울특별시 성동구 뚝섬로5길 17,성동구,성수동1가,24685222,금호산업(주),32,127,0,170,127.0504009,37.5420274,
A13201001,도봉서광,서울특별시 도봉구 마들로 770,도봉구,도봉동,234918468,융창건설(주),159,0,0,90,127.049861,37.6783964,
A13185501,묵동세방,서울특별시 중랑구 숙선옹주로9길 25,중랑구,묵동,29775783,세방기업(주),66,93,0,161,127.0835522,37.6153547,
A14321001,광장11현대홈타운,서울특별시 광진구 아차산로69길 29,광진구,광장동,24560155,현대건설,0,159,0,182,127.0969941,37.5430085,
A13787102,서초2차e편한세상,서울특별시 서초구 효령로49길 57,서초구,서초동,25841546,대림산업,0,43,116,255,127.0090583,37.4862357,
A13087401,휘경서울가든,서울특별시 동대문구 겸재로 24,동대문구,휘경동,222457288,삼익건설(주),0,30,130,157,127.0711253,37.5841565,
A13880201,가락현대6차,서울특별시 송파구 송이로19길 8,송파구,가락동,24496408,현대건설,0,160,0,125,127.1226268,37.4972327,
A15088802,여의도화랑,서울특별시 영등포구 국제금융로7가길 21,영등포구,여의도동,27805488,삼익주택,0,0,120,155,126.9355476,37.5221449,
A15009501,문래진주,서울특별시 영등포구 선유로9길 31,영등포구,문래동5가,226752191,라이프주택,0,80,80,130,126.8847882,37.5171755,
A15083701,신길삼두,서울특별시 영등포구 여의대방로61길 19,영등포구,신길동,28484188,삼두실업(주),160,0,0,45,126.9238594,37.5143228,
A13583301,논현동부센트레빌,서울특별시 강남구 언주로116길 6,강남구,논현동,262416935,동부건설,0,76,84,239,127.0376735,37.5103594,
A12201301,응암경남,서울특별시 은평구 가좌로7나길 35,은평구,응암동,23070223,경남기업,63,97,0,130,126.9203156,37.5833193,
A13788201,서초현대4차,서울특별시 서초구 고무래로 94,서초구,서초동,234817430,현대산업개발,20,70,17,1,127.0178518,37.5003507,
A13508001,역삼휴먼터치빌,서울특별시 강남구 논현로 565,강남구,역삼동,25530050,현대산업개발,160,0,0,123,127.0338294,37.5064114,
A15785601,방화진로,서울특별시 강서구 금낭화로 258,강서구,방화동,226659633,주)진로건설,0,160,0,166,126.8084237,37.5770526,
A13790902,잠원킴스빌리지,서울특별시 서초구 잠원로3길 6,서초구,잠원동,25917591,시대종합건설(주),160,0,0,138,127.0067114,37.5109145,
A15782501,강서월드메르디앙,서울특별시 강서구 공항대로42길 54-26,강서구,내발산동,236655020,월드건설,20,111,29,247,126.843127,37.5568955,
A15284302,구로대성스카이렉스,서울특별시 구로구 공원로 27,구로구,구로동,28308303,대성산업(주),0,120,40,225,126.8909539,37.4994441,
A12111001,마포경남아너스빌,서울특별시 마포구 신수로 81,마포구,신수동,27125412,경남기업(주),0,160,0,182,126.934029,37.5487707,
A13784401,방배브라운가,서울특별시 서초구 방배로19길 67,서초구,방배동,25860690,흥화공업(주),0,116,45,218,126.9919326,37.4835259,
A13181201,면목신성미소지움,서울특별시 중랑구 용마산로86길 9-27,중랑구,면목동,24364511,신성건설,0,161,0,178,127.0961012,37.587218,
A13786803,서초3차e편한세상,서울특별시 서초구 남부순환로 2343-10,서초구,서초동,25216109,대림산업,0,0,17,182,127.0077138,37.4785869,
A13609001,종암우림카이저팰리스,서울특별시 성북구 종암로 132,성북구,종암동,29429371,우림건설,0,161,0,218,127.0334853,37.6018897,
A13481001,길동우성1차,서울특별시 강동구 천중로49길 58,강동구,길동,24709574,우성건설,0,162,0,64,127.1445299,37.5432755,
A13880602,가락우성2차아파트,서울특별시 송파구 중대로12길 35,송파구,가락동,24007459,우성건설,82,80,0,156,127.1255185,37.4918819,
A15603001,상도동원베네스트,서울특별시 동작구 상도로34길 42,동작구,상도동,28243394,동원시스템즈(주)/건설,0,162,0,185,126.9444312,37.5029264,
